{'acceleration': {'y': 0.1604858934879303, 'x': -0.18710140883922577, 'z': 0.9604092836380005}, 'pressure': 782.3, 'temperature': 24.9, 'compass': {'y': -10.45297908782959, 'x': -2.7572591304779053, 'z': -0.16049666702747345}, 'orientation': {'yaw': 107.13418773561547, 'roll': 9.854173462765857, 'pitch': 14.96703963202584}, 'time': '2018-06-13T16:26:03.145364', 'gyroscope': {'y': 0.0007811728864908218, 'x': 0.007445226423442364, 'z': -0.003710794262588024}, 'humidity': 48.8},
{'acceleration': {'y': 0.16242823004722595, 'x': -0.18685458600521088, 'z': 0.9686949253082275}, 'pressure': 782.0, 'temperature': 25.0, 'compass': {'y': -21.643835067749023, 'x': -5.963690757751465, 'z': 0.0659780278801918}, 'orientation': {'yaw': 106.9170696822791, 'roll': 11.375184020167765, 'pitch': 14.732110152881372}, 'time': '2018-06-13T16:26:04.296494', 'gyroscope': {'y': -0.00022492371499538422, 'x': 0.010942765511572361, 'z': -0.0035623451694846153}, 'humidity': 43.9},
{'acceleration': {'y': 0.13353590667247772, 'x': -0.19894953072071075, 'z': 0.9421320557594299}, 'pressure': 781.9, 'temperature': 24.9, 'compass': {'y': -26.184812545776367, 'x': -7.307951927185059, 'z': 0.4869052469730377}, 'orientation': {'yaw': 106.80702850456103, 'roll': 11.831847906753879, 'pitch': 14.596445520491994}, 'time': '2018-06-13T16:26:05.385567', 'gyroscope': {'y': -0.004305281676352024, 'x': 0.008598715998232365, 'z': -0.00044852960854768753}, 'humidity': 44.6},
{'acceleration': {'y': 0.1840367615222931, 'x': -0.1727849543094635, 'z': 0.9957453608512878}, 'pressure': 782.0, 'temperature': 24.9, 'compass': {'y': -28.242149353027344, 'x': -7.785440921783447, 'z': 0.7591542601585388}, 'orientation': {'yaw': 106.90708394571254, 'roll': 12.349274863743718, 'pitch': 13.707136961309763}, 'time': '2018-06-13T16:26:06.478471', 'gyroscope': {'y': 0.00324980728328228, 'x': 0.010232515633106232, 'z': 0.0031397296115756035}, 'humidity': 43.5},
{'acceleration': {'y': 0.17432506382465363, 'x': -0.2078356146812439, 'z': 0.9613840579986572}, 'pressure': 782.0, 'temperature': 24.6, 'compass': {'y': -28.91587257385254, 'x': -7.309199333190918, 'z': 0.5504941940307617}, 'orientation': {'yaw': 106.54925033509558, 'roll': 12.546281425068981, 'pitch': 13.576184305674047}, 'time': '2018-06-13T16:26:07.567390', 'gyroscope': {'y': 0.004579328000545502, 'x': 0.015339120291173458, 'z': -0.0024715550243854523}, 'humidity': 41.6},
{'acceleration': {'y': 0.15393050014972687, 'x': -0.18685458600521088, 'z': 0.9998881816864014}, 'pressure': 781.9, 'temperature': 24.5, 'compass': {'y': -28.88025665283203, 'x': -7.708714008331299, 'z': 1.0658659934997559}, 'orientation': {'yaw': 106.34560824499165, 'roll': 12.027644670822403, 'pitch': 13.285849185756083}, 'time': '2018-06-13T16:26:08.656365', 'gyroscope': {'y': -0.004542547278106213, 'x': 0.0145192202180624, 'z': -0.0018294183537364006}, 'humidity': 43.0},
{'acceleration': {'y': 0.28600963950157166, 'x': -0.21252548694610596, 'z': 1.0359553098678589}, 'pressure': 782.1, 'temperature': 24.6, 'compass': {'y': -28.218082427978516, 'x': -8.351129531860352, 'z': 1.6556676626205444}, 'orientation': {'yaw': 109.47092522427107, 'roll': 23.130186322343476, 'pitch': 18.545720662748604}, 'time': '2018-06-13T16:26:09.746174', 'gyroscope': {'y': 0.10510776191949844, 'x': 0.12111520767211914, 'z': -0.029623785987496376}, 'humidity': 45.1},
{'acceleration': {'y': 0.39453792572021484, 'x': -0.25720274448394775, 'z': 0.9599218368530273}, 'pressure': 782.4, 'temperature': 24.4, 'compass': {'y': -24.653419494628906, 'x': -8.28232479095459, 'z': 2.1542820930480957}, 'orientation': {'yaw': 113.87470335201513, 'roll': 25.01618084464971, 'pitch': 31.834750155336977}, 'time': '2018-06-13T16:26:10.839879', 'gyroscope': {'y': 0.1368727684020996, 'x': 0.16479207575321198, 'z': 0.023521490395069122}, 'humidity': 41.7},
{'acceleration': {'y': 0.5042802095413208, 'x': -0.24017107486724854, 'z': 0.8877876400947571}, 'pressure': 782.2, 'temperature': 23.5, 'compass': {'y': -21.92875099182129, 'x': -8.557563781738281, 'z': 4.19680118560791}, 'orientation': {'yaw': 109.34654064929596, 'roll': 26.654828603900395, 'pitch': 31.398803086277155}, 'time': '2018-06-13T16:26:11.928794', 'gyroscope': {'y': -0.061353012919425964, 'x': 0.10553814470767975, 'z': -0.0714680552482605}, 'humidity': 41.9},
{'acceleration': {'y': 0.34233754873275757, 'x': -0.145879864692688, 'z': 0.7491241097450256}, 'pressure': 782.3, 'temperature': 23.0, 'compass': {'y': -21.37502670288086, 'x': -8.924138069152832, 'z': 5.0777764320373535}, 'orientation': {'yaw': 110.90257385544076, 'roll': 25.601951528248343, 'pitch': 30.836255045856568}, 'time': '2018-06-13T16:26:13.017952', 'gyroscope': {'y': 0.019586628302931786, 'x': -0.04045864939689636, 'z': -0.007021773606538773}, 'humidity': 41.9},
{'acceleration': {'y': 0.3527776300907135, 'x': -0.31940531730651855, 'z': 0.8702414631843567}, 'pressure': 782.2, 'temperature': 22.7, 'compass': {'y': -20.12670135498047, 'x': -9.5536527633667, 'z': 5.369705677032471}, 'orientation': {'yaw': 108.50418707933663, 'roll': 28.184399949653265, 'pitch': 29.51477053581001}, 'time': '2018-06-13T16:26:14.110819', 'gyroscope': {'y': -0.06043671816587448, 'x': 0.05147656798362732, 'z': -0.051004067063331604}, 'humidity': 43.0},
